State,City,Product Name,Price,Company,Location,Rating,Reviews,Product Link
Delhi,New Delhi,"MonocrystallineSolarPanel, 60 W","₹ 4,850/Piece",Success Impex Private Limited,New Delhi,4.2,4.2,https://www.indiamart.com/proddetail/monocrystalline-solar-panel-22814334688.html?pos=1&kwd=solar panel&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:T|rsf:gd|prv:4850|ri:T_A_0_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:new delhi|qr_nm:gl-gd|cs:18547|com-cf:nl|ptrs:na|mc:37335|cat:517|qry_typ:P|lang:en|tyr:1|qrd:251109|mrd:251029|prdt:251109|msf:hs|gli:U0G1I1|gc:Coimbatore|ic:Coimbatore|scw:1|v=4|crs=city-landing|r=4
Delhi,New Delhi,Polycrystalline 5 WattSolarPanel,₹ 600/Piece,Pintron Devices & Systems,New Delhi,4.0,4.0,https://www.indiamart.com/proddetail/5-watt-solar-panel-2856431003833.html?pos=2&kwd=solar panel&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:T|rsf:gd|prv:600|ri:T_A_0_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:new delhi|qr_nm:gl-gd|cs:18547|com-cf:nl|ptrs:na|mc:37335|cat:517|qry_typ:P|lang:en|tyr:1|qrd:251109|mrd:251029|prdt:251109|msf:hs|gli:U0G1I1|gc:Coimbatore|ic:Coimbatore|scw:1|v=4|crs=city-landing|r=4
Delhi,New Delhi,"Monocrystalline WaareeSolarPanels, 24V, 300 - 540",₹ 28/Watt,Solar India Enterprises,New Delhi,3.9,3.9,https://www.indiamart.com/proddetail/waaree-solar-panels-24620658148.html?pos=3&kwd=solar panel&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:T|rsf:gd|prv:28|ri:T_A_0_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:new delhi|qr_nm:gl-gd|cs:18547|com-cf:nl|ptrs:na|mc:37335|cat:517|qry_typ:P|lang:en|tyr:1|qrd:251109|mrd:251029|prdt:251109|msf:hs|gli:U0G1I1|gc:Coimbatore|ic:Coimbatore|scw:1|v=4|crs=city-landing|r=3
Delhi,New Delhi,12 VSolarPv Panel,"₹ 8,000/Piece",VO Greentech Sunrays Private Limited,New Delhi,2.6,2.6,https://www.indiamart.com/proddetail/12-v-solar-pv-panel-2852830386333.html?pos=4&kwd=solar panel&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:T|rsf:gd|prv:8000|ri:T_A_0_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:new delhi|qr_nm:gl-gd|cs:18547|com-cf:nl|ptrs:na|mc:37335|cat:517|qry_typ:P|lang:en|tyr:1|qrd:251109|mrd:251029|prdt:251109|msf:hs|gli:U0G1I1|gc:Coimbatore|ic:Coimbatore|scw:1|v=4|crs=city-landing|r=2
Delhi,New Delhi,"WaareeSolarPanels, 540W",₹ 16.75/Watt,Boom Solar Infrastructure,New Delhi,4.0,4.0,https://www.indiamart.com/proddetail/waaree-solar-panels-2855679791491.html?pos=5&kwd=solar panel&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:T|rsf:gd|prv:16.75|ri:T_A_0_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:new delhi|qr_nm:gl-gd|cs:18547|com-cf:nl|ptrs:na|mc:37335|cat:517|qry_typ:P|lang:en|tyr:1|qrd:251109|mrd:251029|prdt:251109|msf:hs|gli:U0G1I1|gc:Coimbatore|ic:Coimbatore|scw:1|v=4|crs=city-landing|r=4
Delhi,New Delhi,540W MonocrystallineSolarPanel,₹ 22/Watt,Artistic Infratech Private Limited,New Delhi,,,https://www.indiamart.com/proddetail/540w-monocrystalline-solar-panel-2857607341197.html?pos=6&kwd=solar panel&tags=rk:A|plc:1|dt:38|db:01|prc:1|dtp:p||sv:L|rsf:gl|prv:22|ri:L_A_50_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:new delhi|qr_nm:gl-gd|cs:18547|com-cf:nl|ptrs:na|mc:37335|cat:517|qry_typ:P|lang:en|tyr:1|qrd:251109|mrd:251029|prdt:251109|msf:hs|gli:U0G1I1|gc:Coimbatore|ic:Coimbatore|scw:1|v=4|crs=city-landing
Delhi,New Delhi,"SolarPanel N Type Non DCR Topcon, 720 W",₹ 15/Watt,Alleyr Ventures Pvt. Ltd.,New Delhi,3.0,3.0,https://www.indiamart.com/proddetail/solar-panel-n-type-non-dcr-topcon-2856864645588.html?pos=7&kwd=solar panel&tags=rk:A|plc:1|dt:28|db:01|prc:1|dtp:p||sv:S|rsf:gl|prv:15|ri:S_A_50_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:new delhi|qr_nm:gl-gd|cs:18547|com-cf:nl|ptrs:na|mc:37335|cat:517|qry_typ:P|lang:en|tyr:1|qrd:251109|mrd:251029|prdt:251109|msf:hs|gli:U0G1I1|gc:Coimbatore|ic:Coimbatore|scw:1|v=4|crs=city-landing|r=3
Delhi,New Delhi,"RenewsysSolarPanels, 545 watt",₹ 25/Watt,Bhumi Solar,New Delhi,4.5,4.5,https://www.indiamart.com/proddetail/renewsys-solar-panels-2857495159497.html?pos=8&kwd=solar panel&tags=rk:A|plc:1|dt:38|db:01|prc:1|dtp:p||sv:S|rsf:gl|prv:25|ri:S_A_50_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:new delhi|qr_nm:gl-gd|cs:18547|com-cf:nl|ptrs:na|mc:37335|cat:517|qry_typ:P|lang:en|tyr:1|qrd:251109|mrd:251029|prdt:251109|msf:hs|gli:U0G1I1|gc:Coimbatore|ic:Coimbatore|scw:1|v=4|crs=city-landing|r=4
Delhi,New Delhi,"SolarPV Panel, 540W",₹ 17/Watt,Suncov Energy Private Limited,New Delhi,4.3,4.3,https://www.indiamart.com/proddetail/solar-pv-panel-27524329033.html?pos=9&kwd=solar panel&tags=rk:A|plc:1|dt:80|db:02|prc:1|dtp:p||sv:S|rsf:gl|prv:17|ri:S_A_100_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:new delhi|qr_nm:gl-gd|cs:18547|com-cf:nl|ptrs:na|mc:37335|cat:517|qry_typ:P|lang:en|tyr:1|qrd:251109|mrd:251029|prdt:251109|msf:hs|gli:U0G1I1|gc:Coimbatore|ic:Coimbatore|scw:1|v=4|crs=city-landing|r=4
Delhi,New Delhi,Mono Perc BifacialSolarPanel,₹ 12.5/Watt,Sunlight Infra Energy Private Limited,New Delhi,3.7,3.7,https://www.indiamart.com/proddetail/mono-perc-bifacial-solar-panel-2856995667533.html?pos=10&kwd=solar panel&tags=rk:A|plc:1|dt:777|db:16|prc:1|dtp:p||sv:L|rsf:gl|prv:12.50|ri:L_A_G250_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:new delhi|qr_nm:gl-gd|cs:18547|com-cf:nl|ptrs:na|mc:37335|cat:517|qry_typ:P|lang:en|tyr:1|qrd:251109|mrd:251029|prdt:251109|msf:hs|gli:U0G1I1|gc:Coimbatore|ic:Coimbatore|scw:1|v=4|crs=city-landing|r=3
